t,y_t
1,116.15
2,116.02
3,116.61
4,117.91
5,118.99
6,119.11
7,119.75
8,119.25
9,119.04
10,120
11,119.99
12,119.78
13,120
14,120.08
15,119.97
16,121.88
17,121.94
18,121.95
19,121.63
20,121.35
21,128.75
22,128.53
23,129.08
24,130.29
25,131.53
26,132.04
27,132.42
28,132.12
29,133.29
30,135.02
31,135.51
32,135.345
33,135.72
34,136.7
35,137.11
36,136.53
37,136.66
38,136.93
39,136.99
40,139.79
41,138.96
42,139.78
43,139.34
44,139.52
45,139
46,138.68
47,139.14
48,139.2
49,138.99
50,140.46
51,140.69
52,139.99
53,141.46
54,139.84
55,141.42
56,140.92
57,140.64
58,140.88
59,143.8
60,144.12
61,143.93
62,143.66
63,143.7
64,144.77
65,144.02
66,143.66
67,143.34
68,143.17
69,141.63
70,141.8
71,141.05
72,141.83
73,141.2
74,140.68
75,142.44
76,142.27
77,143.64
78,144.53
79,143.68
80,143.79
81,143.65
82,146.58
83,147.51
84,147.06
85,146.53
86,148.96
87,153.01
88,153.99
89,153.26
90,153.95
91,156.1
92,155.7
93,155.47
94,150.25
95,152.54
96,153.06
97,153.99
98,153.8
99,153.34
100,153.87
101,153.61
102,153.67
103,152.76
104,153.18
105,155.45
106,153.93
107,154.45
108,155.37
109,154.99
110,148.98
111,145.42
112,146.59
113,145.16
114,144.29
115,142.27
116,146.34
117,145.01
118,145.87
119,145.63
120,146.28
121,145.82
122,143.73
123,145.83
124,143.68
125,144.02
126,143.5
127,144.09
128,142.73
129,144.18
130,145.06
131,145.53
132,145.74
133,147.77
134,149.04
135,149.56
136,150.08
137,151.02
138,150.34
139,150.27
140,152.09
141,152.74
142,153.46
143,150.56
144,149.5
145,148.73
146,150.05
147,157.14
148,155.57
149,156.39
150,158.81
151,160.08
152,161.06
153,155.32
154,157.48
155,159.85
156,161.6
157,160.95
158,157.86
159,157.5
160,157.21
161,159.78
162,159.98
163,159.27
164,159.86
165,161.47
166,162.91
167,163.35
168,164
169,164.05
170,162.08
171,161.91
172,161.26
173,158.63
174,161.5
175,160.86
176,159.65
177,158.28
178,159.88
179,158.67
180,158.73
181,156.07
182,153.39
183,151.89
184,150.55
185,153.14
186,154.23
187,153.28
188,154.12
189,153.81
190,154.48
191,153.48
192,155.39
193,155.3
194,155.84
195,155.9
196,156.55
197,156
198,156.99
199,159.88
200,160.47
201,159.76
202,155.98
203,156.25
204,156.17
205,157.1
206,156.41
207,157.41
208,163.05
209,166.72
210,169.04
211,166.89
212,168.11
213,172.5
214,174.25
215,174.81
216,176.24
217,175.88
218,174.67
219,173.97
220,171.34
221,169.08
222,171.1
223,170.15
224,169.98
225,173.14
226,174.96
227,174.97
228,174.09
229,173.07
230,169.48
231,171.85
232,171.05
233,169.8
234,169.64
235,169.01
236,169.32
237,169.37
238,172.67
239,171.7
240,172.27
241,172.22
242,173.97
243,176.42
244,174.54
245,174.35
246,175.01
247,175.01
248,170.57
249,170.6
250,171.08
251,169.23
